title,subtitle,author,publisher,genre,width,color,bookcase,compartment
Bitte ein Einzelzimmer mit Bad,,Evelyn Sanders,Heyne,Roman,17,"[0.016066992110883496, 0.8875637449330951, 0.06700845573813363, 3.268970927951881e-05, 0.0, 0.0021575208124482415, 0.027170596696160048, 0.0]",A,3
Computer Graphics for Artists II,,Paquette,Springer,IT,16,"[0.050458233304712004, 0.3519634815217201, 0.13023288415371406, 0.0019363204654178421, 0.0003767501358052815, 0.10628734645241558, 0.3587449839662151, 0.0]",A,3
Dämonendreieck,Mark Mega und Phantom,Thomas Brezina,Schneider-Buch,Kinder,20,"[0.012303403133428285, 0.03014030728203885, 0.8335282887360222, 0.0335040455771387, 0.0003272826449286342, 0.07729931210036668, 0.012879178156913846, 1.81823691627019e-05]",A,3
Dämonenlicht,,Marion Zimmer Bradley,Heyne,Roman,27,"[0.0, 0.08, 0.9121114528677402, 0.0027356612990772572, 0.0, 0.0, 0.004877872263434051, 0.00027501356974850733]",A,3
Das Geisterhaus,,Isabel Allende,Viva Maria Book,Roman,21,"[0.07930590883840599, 0.6910651112475514, 0.12712335175277023, 0.10247639095985732, 2.923720141508055e-05, 0.0, 0.0, 0.0]",A,3
Das Jahr der Graugans,,Lorenz,dtv,Sachbuch,10,"[0.06321795741899806, 0.936782042581002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",A,3
Das Leben danach,,Bernard Jakoby,rororo,Sachbuch,15,"[0.0, 0.045930792320326215, 0.9540692076796737, 0.0, 0.0, 0.0, 0.0, 0.0]",A,3
Das Leuchten des Sanddorns,,Judith Kern,Knaur,Roman,34,"[0.0, 0.41812324081750174, 0.1333727158551054, 0.0, 0.0, 0.0, 0.4153879757549282, 0.033116067572464665]",A,3
Die stillen Wasser des Todes,,Deborah Crombie,Goldmann,Roman,32,"[0.03934888787174748, 0.745146207639762, 0.21365377150240156, 0.0018192668470483264, 0.0, 8.690765192906018e-06, 1.1587686923874691e-05, 1.1587686923874691e-05]",A,3
Ein Pekinese namens Horation,,Seymour,Tosa Verlag,Jugend,22,"[0.6799029613736705, 0.3200122602565524, 1.956423917934538e-05, 4.5649891418472555e-05, 0.0, 0.0, 1.956423917934538e-05, 0.0]",A,3
Heimatfront,,Franz Kurowski,Manfred Pawlak Verlagsgesellschaft,Geschichte,37,"[0.026982190662439006, 0.004528280392640832, 0.9649580398336782, 0.003531489111241907, 0.0, 0.0, 0.0, 0.0]",A,3
Herzflimmern,,Barbara Wood,Fischer,Roman,17,"[0.8607261640798226, 0.12840153194920378, 0.0, 0.0, 0.0, 0.002091312235436404, 0.00878099173553719, 0.0]",A,3
Ich leb´ nicht mehr in eurer Welt,wahre Schicksale,Sarah Aziz,Weltbild,wahre Schicksale,26,"[0.0015966328888075577, 0.8537639819749754, 0.14463938513621702, 0.0, 0.0, 0.0, 0.0, 0.0]",A,3
Illustrierte Weltgeschichte,,Johannes Bagusch,Lingen Verlag,Geschichte,48,"[0.11080534081783301, 0.5184401794333088, 0.24025162844650666, 0.1304886556291928, 4.055906616806055e-06, 0.0, 1.0139766542015137e-05, 0.0]",A,3
"Karl, das Kind ist weg!",,Bettina Schuler,Cden Books,Ratgeber,19,"[0.0033783783783783786, 0.9113286806543386, 0.0, 0.0, 0.08529294096728307, 0.0, 0.0, 0.0]",A,3
Lehrbuch,134 a,Ing. W. Müller,Verlag Werner Degener,Schule,13,"[0.04334022153076332, 0.01012644196891602, 0.05246114502426704, 0.8622598038051352, 0.031812387670918346, 0.0, 0.0, 0.0]",A,3
Make: Electronics,Learning by Discovery,Charles Platt,MakerMedia,Technik,15,"[0.006747922271149251, 0.5783450307338553, 0.01236868603375464, 0.0, 0.0, 0.3881032176618224, 0.014435143299418387, 0.0]",A,3
Mein Kind hat Asthma,,Zenker,ETB,Ratgeber,14,"[0.0396767208307047, 0.960016368565534, 0.0, 0.00030691060376135995, 0.0, 0.0, 0.0, 0.0]",A,3
Menschensöhne,,Arnaldur Ingridason,Bastei Lübbe,Krimi,30,"[0.006262790640333358, 0.040445134830814244, 0.058526682611304254, 0.0, 0.21508001084892867, 0.01019141783991255, 0.6612586401032292, 0.008235323125477723]",A,3
Nadeschda heisst Hoffnung,,Lois Fisher-Ruge,Fischer,Erfahrungen,16,"[0.0031570876618007425, 0.9286498188433032, 0.06817805974412557, 0.0, 0.0, 0.0, 1.5033750770479727e-05, 0.0]",A,3
Paper Prototyping,,Snyder,Morgan Kaufmann,IT,25,"[0.022868734847360347, 0.7632279451783682, 0.2138340507644352, 6.92692098362278e-05, 0.0, 0.0, 0.0, 0.0]",A,3
Programmieren in C,3. Aufl.,"Klima, Selberherr",Springer,IT,15,"[0.011060649226592481, 0.12270617217743962, 0.4094283655376984, 0.0, 0.0, 0.4549362336813528, 0.0018685793769167602, 0.0]",A,3
Reden an die deutsche Jugend,,Adam Weyer,Jugenddient-Verlag,Geschichte,34,"[0.6502920966313118, 0.3472777551655613, 0.002208681494960136, 0.0001915387746306893, 0.0, 1.1971173414418082e-05, 1.7956760121627122e-05, 0.0]",A,3
Salz auf unserer Haut,,Groult,Knaur,Roman,17,"[0.047553566166669003, 0.7562686797536027, 0.1860468379474371, 0.0, 0.0005332061122258548, 0.00948545610170205, 0.00011225391836333787, 0.0]",A,3
Spieler unter sich,,Cornelia Jönsson,Anais,Roman,21,"[0.1190605573835102, 0.10537378852389512, 0.7755656540925947, 0.0, 0.0, 0.0, 0.0, 0.0]",A,3
Sprengstoff,,Richard Bachman,Heyne,Roman,23,"[0.8369105061106611, 0.09671397879759096, 0.06538935653153946, 0.000507167259535801, 0.0, 0.00016201176346282534, 0.00031697953720987565, 0.0]",A,3
Tanz mit dem Engel,,Ake Edwardson,Weltbild,Roman,35,"[0.5451009317055091, 0.28366194392152977, 0.14282359244213996, 0.02841353193082114, 0.0, 0.0, 0.0, 0.0]",A,3
Tiramisu,Frauen,Dagmar Scherf,Bastei Lübbe,Roman,15,"[0.05737681234794769, 0.9332385624880815, 0.006287236563054395, 0.0, 0.0, 0.0, 2.88935503816838e-05, 0.0030684950505348195]",A,3
Touch of Class,,Bertrand Meyer,Springer,IT,45,"[0.0017430914781534515, 0.8980543892053047, 0.10019361084220717, 0.0, 0.0, 0.0, 8.908474334685442e-06, 0.0]",A,3
Traumfrau mit Nebenwirkungen,,Fried,Goldmann,Roman,24,"[0.015347832793459817, 0.012656177695511337, 0.9534667592164121, 0.01852537405522135, 0.0, 0.0, 0.0, 3.856239395341663e-06]",A,3
Über die Köpfe hinweg,,Claus Peter Müller-Thurau,Econ,Sachbuch,16,"[0.07613142865122255, 0.9177663273428008, 0.0060882800608828, 1.396394509376789e-05, 0.0, 0.0, 0.0, 0.0]",A,3
Unheil über der Stadt,,Dean R. Koontz,Heyne,Roman,21,"[0.003997814528057995, 0.2338721498913927, 0.0, 2.6652096853719965e-05, 0.0, 0.0, 0.7621033834836956, 0.0]",A,3
Unter Einfluss,,Campbell,Knaur,Roman,18,"[0.61491418425725, 0.3673834418359966, 0.017189452225948577, 0.0001446702176629184, 0.0, 0.0, 0.0003682514631419741, 0.0]",A,3
Versuchung in Rom,,Marie Louise Fischer,Naumann Göbel,Roman,17,"[0.0, 0.17533480208926405, 0.8246651979107359, 0.0, 0.0, 0.0, 0.0, 0.0]",A,3
Wallanders erster Fall,,Henning Mankel,dtv,Roman,24,"[0.8725382676871383, 0.04194278514093709, 0.0575998693298488, 0.027919077842075788, 0.0, 0.0, 0.0, 0.0]",A,3
Weit wie das Meer,,Nicholas Sparks,Heyne,Roman,31,"[4.7608683823929484e-05, 0.03312544208063551, 0.2095564230915719, 0.7136371674193372, 0.0, 0.0, 0.04254516023722727, 0.0010881984874041026]",A,3
Wenn Frauen zu sehr lieben,,Robin Norwood,Rowohlt,Sachbuch,27,"[0.04318513521259662, 0.8477364622052903, 0.10835967917598141, 0.0007187234061316366, 0.0, 0.0, 0.0, 0.0]",A,3
